0516,水晶玛瑙,Crystal agate
0517,彩宝,Multicolored
0518,铂金,Platinum
0519,木手串/把件,Wooden hand string
0520,珍珠,Pearl
0521,其他珠宝,Other jewelry
0522,进口珠宝,Imported jewelry
0601,电视,Television
0602,空调,Air conditioner
0603,洗衣机,Washing machine
0604,冰箱,Fridge
0605,厨卫大电器,Kitchen appliances
0606,厨房小电,Small kitchen
0607,生活电器,Life appliance
0608,个护健康,Protect health
0609,家庭影音,Home video
0701,境外游（国外游）,Overseas travel (abroad)
0702,境内游（国内游）,Domestic travel (domestic)
0703,娱乐,Entertainment
0704,购物,Shopping
0705,美容,Cosmetology
0706,国内/国外住宿,Domestic / foreign accommodation
0707,美食,Delicious food
0801,百货,Department store
0802,中药,Traditional Chinese medicine
0803,调味品,Condiment
0804,服装,Clothing
0805,羽绒,Eiderdown
0806,木雕,Wood carving
0807,牙雕,Ivory carving
0808,玉雕,Jade carving
0809,石雕,stone carving
0810,木偶,Puppet
0811,玉器,Jadeware
0812,漆器,Lacquer ware
0813,玻璃器皿,Glassware
0814,剪纸,Paper-cut
0815,京绣,Beijing embroidery
0816,苏绣,Suzhou embroidery
0817,丝绸,Silk
0818,苏扇,Suzhou Fan
0819,人参,Ginseng
0820,枸杞,Matrimony vine
0821,阿胶,Donkey-hide gelatin
0822,天麻,Rhizoma gastrodiae
0823,黄芪,Astragalus mongholicus
0824,鹿茸,Pilose antler
0825,冬虫夏草,Cordyceps sinensis
0826,灵芝,Glossy ganoderma
0827,古玩,Antique
0828,古画,Ancient painting
0829,瓷板彩画,Porcelain painting
0830,瓷板画,Porcelain painting
0831,瓷器,Porcelain
0832,工艺瓷,Art porcelain
0833,民间工艺品,Folk arts and crafts
0834,工艺灯具,Craft lamps
0835,徽墨,Huimo
0836,歙砚,She inkstone
0837,摄影器材,Camera Equipment
0838,珠宝,Jewellery
0839,首饰,Jewelry
0840,玉器,Jade article
0841,乐器,Musical Instruments
0842,剪刀,Scissors
0843,其他名优特产品,Other famous brand products
0901,电视剧,TV play
0902,电影,Film
0903,广告,Advertisement
0904,MV,MV
0905,网络影视,Network movie
0906,报纸,Newspaper
0907,宣传片,Trailer
0908,网络媒体,Network media
0909,自媒体,Self media
0910,综艺,Variety
0911,动漫,Comic
0912,娱乐,Entertainment
0913,其他影视传媒,Other media
0914,海外影视传媒,Overseas media
1001,手机通讯,Mobile communication
1002,手机配件,Mobile Accessories
1003,摄影摄像,Photography
1004,数码配件,Digital accessories
1005,影音娱乐,Video entertainment
1006,智能设备,Intelligent equipment
1007,电子教育,Electronic education
1008,电脑整机,Computer machine
1009,电脑配件,Computer accessories
1010,外设产品,Peripheral products
1011,游戏产品,Game product
1012,网络产品,Network product
1013,办公设备,Office equipment
1014,文具耗材,Stationery supplies
1015,服务产品,Service products
1101,中西药品,Pharmaceuticals
1102,营养健康,Nutrition health
1103,营养成分,Nutritional composition
1104,滋补养生,Nourishing health
1105,计生情趣,Family interest
1106,保健器械,Health apparatus
1107,护理护具,Nursing care
1201,奶粉,Powdered Milk
1202,营养辅食,Nutritional supplement
1203,尿裤湿巾,Diaper wipes
1204,喂养用品,Feeding products
1205,洗护用品,Toiletries
1206,童床桌椅,Crib chairs
1207,童车,Baby carrier
1208,妈妈专区,Mama zone
1209,寝居服饰,Bedroom apparel
1210,益智早教 ,Intelligence Education
1211,遥控户外,Remote outdoor
1212,毛绒娃娃,Plush toys
1213,钢琴,Piano
1214,电子琴,Electronic organ
1215,电钢琴,Electric piano
1216,吉他,Guitar
1217,尤克里里,Wuke Lili
1218,打击乐器,Percussion instrument
1219,西洋管弦,Western orchestra
1220,名族管弦乐器,Orchestral music
1221,乐器配件,Musical instrument accessories
1222,其他乐器,Other instruments
1223,进口乐器,Imported instruments
1301,运动鞋包,Sports bag
1302,运动服饰,Sportswear
1303,健身训练,Fitness training
1304,骑行运动,Cycling exercise
1305,体育用品,Sports goods
1306,鞋服,Shoes
1307,装备,equipment
1308,垂钓用品,Fishing supplies
1309,游泳用品,Swimming products
1401,新车/二手车,New / used car
1402,维修保养,Maintenance
1403,汽车装饰,Car decoration
1404,车载电器,Vehicle appliance
1405,美容清洗,Beauty cleaning
1406,安全自驾,Safe driving
1407,外饰改装,Exterior modification
1408,赛事改装,Match modification
1501,厨具,Kitchenware
1502,家纺,Home textiles
1503,生活日用,Daily life
1504,家装软饰,Home decoration
1505,灯具,Lamps and lanterns
1506,家具,Furniture
1507,家装主材,Decoration materials
1508,厨房卫浴,Kitchen bathroom
1509,五金电工,Hardware electrician
1510,装修定制,Custom decoration
1601,邮币,Youbi
1602,音像,Audio and video
1603,少儿,A juvenile
1604,教育,Education
1605,文艺,Literature
1606,经管励志,Economic encouragement
1607,人文社科,Social science
1608,生活,Life
1609,科技,Science and technology
1610,刊/原版,Original edition
1701,电子信息,Electronic information
1702,化工,Chemical industry
1703,汽车,Motor vehicle
1704,机械工业,Machinery industry
1705,仪表仪器,Instrument
1706,发电与输变电设备,Power generation and transmission equipment
1707,生物技术,Biotechnology
1708,制药,Pharmacy
1709,新材料,New material
1710,光电子,Photoelectron
1711,纳米,Nanometer
1712,新能源,New energy
1713,环保,Environmental protection
1714,食品与农产品精加工,Food and agricultural products finishing
1715,印刷与包装,Printing and packaging
1716,钻石珠宝,Diamond jewelry
1717,化妆品及洗涤用品,Cosmetics and washing products
1718,服装服饰,Clothing
1719,纺织,Spin
1720,轻工,Light industry
1721,商业零售业,Retail business
1722,物流业,Logistics industry
1723,会展业,MICE industry
1724,金融业,Finance
1725,餐饮业,Catering
1726,旅游业,Tourism
1727,房地产业,Estate
1728,广告业,Advertising
1729,信息咨询服务业,Information consulting service
1730,其他行业上市公司,Listed companies in other industries
1731,工业产权,industrial property
1732,著作权,Copyright
1801,比特币,Bitcoin
1802,莱特币,Litecoin
1803,以太坊,ETH
1804,以太经典,ETC
010101,白酒,Spirit
010102,黄酒/养生酒,Yellow rice wine
010103,保健酒,Health wine
010104,果酒,Fruit wine
010105,啤酒,Beer
010106,红酒,Red wine
010107,葡萄酒,Wine
010108,基酒,The base wine
010109,原浆酒,Pulp liquor
010110,收藏酒/陈年老酒,Wine / wine
010111,洋酒,Imported wine
010112,其他酒类,Other liquor
010201,养生茶,Health tea
010202,花茶,Scented tea
010203,绿茶,Green Tea
010204,白茶,White tea
010205,黑茶,Black tea
010206,红茶,Black tea
010207,黄茶,Yellow tea
010208,铁观音,Tie Guanyin
010209,普洱,Puer Tea
010210,龙井,Longjing
010211,其它茶,Other tea
010301,饮料,Drinks
010302,饮用水,Drinking water
010303,茶饮,Tea
010304,果汁,Fruit juice
010305,牛奶乳品,Milk dairy
010306,其它饮料,Other drinks
010307,成人奶粉,Adult milk powder
010308,儿童奶粉,Children milk powder
010309,冲饮谷物,Washed grain
010310,咖啡/奶茶,Coffee / tea
010311,其它冲调饮品,Other drinks
010401,食用油,Edible oil
010402,大米,Rice
010403,杂粮,Coarse Cereals
010404,南北干货,Dry cargo
010405,面条及米面制品,Noodles and rice products
010406,调味品,Condiment
010407,方便食品,Instant food
010408,罐头,Can
010409,果酱,Jam
010410,烘培原料,Baking ingredients
010411,有机食品,Organic food
010412,其他食品,Other food
010501,零食,Snacks
010502,肉干肉脯,Dried meat jerky
010503,熟食腊味,Cooked meat
010504,糖果/巧克力,Candy / chocolate
010505,坚果炒货,Roasted seeds and nuts
010506,饼干/蛋糕,Biscuit / Cake
010507,糕点/面包,Cake / bread
010508,蜜饯果干,Candied dried fruit
010509,其他休闲零食,Other snacks
010601,馄饨,Wonton
010602,饺子,Dumplings
010603,汤圆,Glutinous Rice Balls
010604,冷藏果蔬汁,Chilled fruit and vegetable juice
010605,低温乳品,Low-temperature dairy
010606,速冻半成品,Frozen semi-finished products
010607,火锅丸串,Chafing dish pill string
010608,冰淇淋,Ice cream
010609,肉串,Meat string
010610,其它,Other
010611,黄油奶酪,Butter cheese
010612,面食,Noodle & Pastries
010613,其它冷饮冻食,Other cold drinks
010701,苹果,Apple
010702,香蕉,Banana
010703,橙子,orange
010704,奇异果/猕猴桃,Kiwi fruit
010705,火龙果,Pitaya
010706,瓜类,Melon
010707,芒果,Mango
010708,百香果,Passion fruit
010709,榴莲,Durian
010710,国产水果,Domestic fruit
010711,进口水果,Imported fruit
010712,其他水果,Other fruit
010801,蛋品,Egg
010802,叶菜类,Leafy
010803,根茎类,Rhizome
010804,葱姜蒜椒,Onion ginger garlic pepper
010805,鲜菌菇,Fresh mushroom
010806,茄果瓜类,Eggplant melon
010807,半加工蔬菜,Semi processed vegetable
010808,半加工豆制品,Semi processed soybean products
010809,玉米,Corn
010810,山药,Yam
010811,萝卜,Radish
010812,其他蔬菜,Other vegetables
010901,鱼类,Fish
010902,虾类,Shrimp
010903,蟹类,Crabs
010904,贝类,Shellfish
010905,海参活鲜,Fresh sea cucumber
010906,特色水产,Special aquatic products
010907,海产干货,Dry cargo
010908,小龙虾,Crayfish
010909,帝王蟹,King crab
010910,三文鱼,Salmon
010911,其他海水产品,Other sea products
010912,其他淡水产品,Other freshwater products
011001,猪肉,Pork
011002,牛肉,Beef
011003,羊肉,Lamb
011004,鸡肉,chicken
011005,鸭肉,Duck
011006,冷鲜肉,Chilled fresh meat
011007,特色肉类,Specialty meat
011008,内脏类,Viscera
011009,冷藏熟食,Frozen cooked food
011010,牛排/牛腩,Sirloin steak
011011,其他肉类,Other meat
011101,新疆,Xinjiang
011102,四川,Sichuan
011103,云南,Yunnan
011104,湖南,Hunan
011105,内蒙,Inner Mongolia
011106,北京,Beijing
011107,山西,Shanxi
011108,江西,Jiangxi
011109,广东,Guangdong
011110,福建,Fujian
011111,东北,Northeast
011112,陕西,Shaanxi
011113,其他地方特产,Other local specialties
011201,干贝/瑶柱,Scallops / scallops
011202,虾皮/虾米/海米,Small shrimp shrimp / khemis
011203,大虾干,Dried prawns
011204,花胶/鱼胶,Fish / fish
011205,海带,Kelp
011206,紫菜,Laver
011207,鱼干,Dried fish
011208,墨鱼干,Dried squid
011209,其他干货,Other dry goods
011301,牛奶,Milk
011302,饼干/蛋糕,Biscuit / Cake
011303,糖果/巧克力,Candy / chocolate
011304,休闲零食,Leisure snacks
011305,冲调饮品,Adjustable drink
011306,粮油调味,Grain seasoning
011307,其他进口食品,Other imported food
020101,女士上装,Lady dress
020102,女士裤装,Pants
020103,裙装,Dress
020104,特色女装,Featured women
020105,文胸塑身/内裤,Bra / underwear
020201,男士上装,Weat
020202,男士裤装,The men's pants
020203,特色男装,Featured men's clothes
020204,男士内衣/内搭,Men's underwear
020301,春夏家居服,Spring summer home clthoes
020302,秋冬家居服,Autumn winter clothing
020303,春夏睡裙,Spring and summer Nightgown
020304,秋冬睡裙,Autumn and winter dress
020305,情侣家居服,Couple home service
020306,其他家居服,Other home clothes
020401,船袜,Boat socks
020402,长筒丝袜,Long silk stockings
020403,男士运动袜,Men's sports socks
020404,女士装饰袜,Ladies socks
020405,潮流渔网袜,Tidal fishnet socks
020406,其他袜类,Other hosiery
020501,运动裤,Sports pants
020502,运动卫衣,Sports sweater
020503,运动套装,Sports suit
020504,运动夹克,Sports jacket
020601,进口男装,Import men
020602,进口女装,Imported women
020603,进口袜类,Imported socks
020604,其他进口服装,Other imported garments
030101,单鞋,Single shoes
030102,帆布鞋,Canvas shoe
030103,豆豆鞋,Doug shoes
030104,平底鞋,Flat shoes
030105,渔夫鞋,Fisherman shoes
030106,休闲鞋,Casual shoes
030107,布鞋/绣花鞋,Cloth shoes/Embroidered shoes
030108,高跟鞋,High-heeled shoes
030109,内增高鞋,Inner heightening shoes
030110,坡跟鞋,Slipsole
030111,松糕鞋,Shoe of sponge cake
030112,雪地靴,Snow boots
030113,马丁靴,Dr Martens shoes
030114,雨鞋/雨靴,Raining boots
030115,凉鞋,Sandals
030116,皮鞋,Leather shoes
030117,运动鞋,Sport shoes
030118,鱼嘴鞋,Peep-toe
030119,拖鞋,Slipper
030120,其他,Other
030121,进口女鞋,Import shoes
030201,休闲鞋,Casual shoes
030202,帆布鞋,Canvas shoe
030203,皮鞋,Leather shoes
030204,正装鞋,Dress shoes
030205,沙滩鞋,Beach shoes
030206,凉鞋,Sandals
030207,增高鞋,Heighten shoes
030208,工装鞋,Work clothes
030209,拖鞋,Slipper
030210,运动鞋,Gym shoes
030211,其他,Other
030212,进口男鞋,Import shoes
030301,登机箱,Boarding case
030302,托运箱,Checking box
030303,旅行箱,Suitcase
030304,其他,Other
030305,进口拉杆箱,Import rod box
030401,单肩/斜跨包,Single shoulder / diagonal bag
030402,商务公文包,Business briefcase
030403,双肩包,Backpack
030404,男士手包,Handbags
030405,男士钱包,Men's Wallet
030406,卡片名片夹,Card card holder
030407,钥匙包,Key case
030408,手机包,Mobile phone bag
030409,其他男士包,Other men's bag
030410,进口男包,Import bag
030501,斜挎包,Inclined shoulder bag
030502,单肩包,The single shoulder bag
030503,双肩包,Backpack
030504,手提包,Handbag
030505,手拿包,Clutch bag
030506,钱包,Wallet
030507,卡包/零钱包,Card bag / zero wallet
030508,钥匙包,Key case
030509,贝壳包,Shell bag
030510,其他女士包,Other ladies bag
030511,进口女包,Import bag
030601,休闲运动包,Leisure sports bag
030602,旅行包,Travelling bag
030603,电脑包,Computer package
030604,书包,Bag
030605,登山包,Mountaineering bag
030606,相机包,Camera bag
030607,腰包/胸包,Waist bag
030608,其他功能包,Other function pack
030609,进口功能包,Import function pack
040101,补水保湿,Moisture replenishment
040102,精华液,Essence
040103,爽肤水,Toner
040104,洁面,Cleansing
040105,眼霜,Eye cream
040106,身体乳,Body Lotion
040107,卸妆,Remover
040108,身体护理,Body care
040109,精油芳疗,Essential oil aromatherapy
040110,防晒,Sunscreen
040111,护肤套装,Skincare Set
040112,面膜,Facial mask
040113,其他护肤用品,Other skin care products
040114,进口护肤品,Imported skin care products
040201,彩妆,Makeup
040202,BB霜,BB cream
040203,美容工具,Beauty tools
040204,口红,Lipstick
040205,隔离,Quarantine
040206,粉底,Foundation make-up
040207,粉饼,Powder
040208,气垫bb,Air cushion BB
040209,指甲油,Nail Polish
040210,眉笔,Eyebrow pencil
040211,睫毛膏,Mascara
040212,眼线,Eyeliner
040213,唇彩,Lip Gloss
040214,眼影,Eye shadow
040215,蜜粉,Powder
040216,香水,Perfume
040217,其他彩妆用品,Other cosmetic products
040218,进口香水彩妆,Imported perfume
040301,补水保湿,Moisture replenishment
040302,香皂,Soap
040303,洗发护发,Shampoo and conditioner
040304,沐浴,Bath
040305,润肤,Moisten the skin
040306,精油,Essential oil
040307,颈部,Neck
040308,手足,Brothers
040309,纤体塑形,Slimming shaping
040310,美胸,Breast
040311,其他身体护理用品,Other body care products
040312,进口身体护理品,Imported body care products
040401,牙膏/牙粉,Toothpaste / dentifrice
040402,牙刷/牙线,Toothbrush / floss
040403,漱口水,Mouth wash
040404,其他口腔用品,Other oral products
040405,进口口腔护理,Imported oral care
040501,纸巾湿巾,Towel wipes
040502,衣物清洁,Laundry cleaning
040503,清洁工具,Cleaning tool
040504,家庭清洁,Home cleaning
040505,一次性用品,Disposable supplies
040506,驱虫用品,Insect repellent
040507,皮具护理,Leather care
040508,卫生巾,Tampon
040509,卫生护垫,Sanitary pad
040510,私密护理,Private nursing
040511,脱毛膏,Hair removal cream
040512,其他清洁用品,Other cleaning products
040513,其他护理用品,Other care products
040514,进口清洁/护理用品,Import cleaning / care products
060101,国产,Domestic product
060102,背投电视,Rear-projection TV
060103,平板电视,Flat panel TV
060104,等离子电视,Plasma TV
060105,4K电视,4K TV
060106,量子点电视,Quantum dot TV
060107,3D电视,3D TV
060108,液晶电视,LCD TV
060109,外资品牌,Foreign brands
060110,超级大屏,Super large screen
060111,曲面,Curved surface
060112,智能电视,Smart TV
060113,云电视,Cloud TV
060114,其它类型电视,Other types of television
060115,进口电视,Imported TV
060201,节能,Energy conservation
060202,环绕风空调,Ambient air conditioning
060203,绿色空调,Green air-conditioning
060204,定频式空调,Fixed frequency air conditioner
060205,智能,Intelligence
060206,变频,Frequency conversion
060207,艺术柜机,Art Guiji
060208,挂机,Hang up
060209,中央空调,Central air-conditioning
060210,其他类型空调,Other types of air conditioning
060211,进口空调,Imported air-conditioning
060301,滚筒洗衣机,Drum washing machine
060302,多桶型洗衣机,Multi drum washing machine
060303,半自动型洗衣机,Semi automatic washing machine
060304,全自动型洗衣机,Full automatic washing machine
060305,波轮洗衣机,Pulsator washing machine
060306,洗烘一体,Washing and drying
060307,迷你,Mini
060308,烘干机,Dryer
060309,双杠/双桶,Double / double barrel
060310,大容量,High-capacity
060311,其它类型洗衣机,Other types of washing machines
060312,进口洗衣机,Imported washing machine
060401,无霜,No frost
060402,单门冰箱,Single door refrigerator
060403,双门冰箱,Double door refrigerator
060404,工业级冰箱,Industrial refrigerator
060405,三门,Three door
060406,对开门,Open door
060407,电脑控温,Computer temperature control
060408,智能,Intelligence
060409,冷柜,Freezer
060410,酒柜,Wine cabinet
060411,其它类型冰箱,Other types of refrigerator
060412,进口冰箱,Imported refrigerator
060501,烟灶套装,Cooker set
060502,测吸油烟机,Measuring hood
060503,欧式油烟机,European range hood
060504,燃气机,Gas engine
060505,消毒柜,Sterilizer
060506,洗碗机,Dishwasher
060507,集成灶,Integrated stove
060508,电热水器,Electric water heater
060509,燃气热水器,Gas water heater
060510,嵌入式厨电,Embedded kitchen electric
060511,其他厨卫大电,Other kitchen electric
060512,进口厨卫大电器,Import kitchen appliances
060601,电饭煲,Rice cooker
060602,微波炉,Microwave Oven
060603,电烤箱,Electric oven
060604,电磁炉,Electromagnetic furnace
060605,电压力锅,Electric pressure cooker
060606,豆浆机,Soybean Milk machine
060607,咖啡机,Coffee machine
060608,面包机,Bread machine
060609,榨汁机,Juice maker
060610,料理机,Food processor
060611,电饼铛,Electric baking pan
060612,养生壶/煎药壶,Health pot / pot
060613,酸奶机,Yogurt machine
060614,煮蛋器,Egg Cooker
060615,电水壶/热水瓶,Electric kettle / thermos bottle
060616,电炖锅,Electric cooker
060617,多用途锅,Multipurpose pot
060618,其他厨房小电,Other kitchen small electricity
060619,进口厨房小电,Small kitchen imports
060701,电风扇,Electric fan
060702,扫地机器人,Sweeping robot
060703,空气净化器,Air cleaner
060704,吸尘器,Vacuum cleaner
060705,除湿器,Dehumidifier
060706,挂烫机,Hanging ironing machine
060707,干衣机,Dryer
060708,其他生活电器,Other household appliances
060709,进口生活电器,Imported household appliances
060801,剃须刀,Razor
060802,吹风机,Hair drier
060803,电动牙刷,Electric toothbrush
060804,体重秤,Weighing scale
060805,理发器,Barber
060806,足浴器,Foot bath
060807,按摩椅,Massage chair
060808,其他个护产品,Other care products
060809,进口个护健康,Imported health care
060901,家庭影音,Home video
060902,迷你音响,Mini audio
060903,DVD,DVD
060904,电视影音配件,Video accessories
060905,其他家庭影音品,Other home video quality
060906,进口家庭影音品,The import of home video quality
070101,海岛,Island
070102,马尔代夫,Maldives
070103,夏威夷,Hawaii
070104,普吉岛,Phuket
070105,巴厘岛,Bali
070106,韩国,The Republic of Korea
070107,日本,Japan
070108,东京,Tokyo
070109,大阪,Osaka
070110,北海道,Hokkaido
070111,东南亚,Southeast Asia
070112,泰国,Thailand
070113,新加坡,Singapore
070114,菲律宾,The Philippines
070115,马来西亚,Malaysia
070116,缅甸,Myanmar
070117,越南,Vietnam
070118,老挝,Laos
070119,意大利,Italy
070120,法国,France
070121,英国,Britain
070122,境外其他国家,Other overseas countries
070201,香港,Hong Kong
070202,澳门,Macao
070203,台湾,Taiwan
070204,虎门,Humen
070205,珠海,Zhuhai
070206,东莞,Dongguan
070207,三亚,Sanya
070208,厦门,Xiamen
070209,北京,Beijing
070210,西藏,Tibet
070211,新疆,Xinjiang
070212,青海,Qinghai
070213,山东,Shandong
070214,青岛,Qingdao
070215,成都,Chengdu
070216,重庆,Chongqing
070217,杭州,Hangzhou
070218,苏州,Suzhou
070219,广州,Guangzhou
070220,深圳,Shenzhen
070221,珠海,Zhuhai
070222,无锡,Wuxi
070223,南京,Nanjing
070224,宁波,Ningbo
070225,丽江,Lijiang
070226,哈尔滨,Harbin
070227,九寨沟,Jiuzhaigou
070228,庐山,Lushan Mountain
070229,长白山,Changbai Mountain
070230,国内其他游玩地区,Other domestic tourist areas
070301,电影,Film
070302,游戏,Game
070303,游乐场,Playground
070304,KTV,KTV
070305,高尔夫,Golf
070306,棋牌室,Chess and card room
070307,篮球,Basketball
070308,真人CS,Real CS
070309,农家乐,Agritainment
070310,私人影院,Private cinema
070311,运动健身,Sports fitness
070312,桌游,Board role-playing games
070313,轰趴馆,party house
070314,游泳馆,Natatorium
070315,夜总会,Nightclub
070316,书吧,Book bar
070317,音乐厅,A music hall
070318,其他娱乐,Other entertainment
070401,电商平台,Electronic business platform
070402,实体店,Physical store
070501,厂商,Manufacturer
070502,美容美发,Beauty salon
070503,美甲美睫,Beauty nail
070504,瑜伽舞蹈,Yoga Dance
070505,瘦身纤体,Slim
070506,桑拿洗浴,Sauna bath
070507,水疗足疗馆,Spa Pedicure
070508,温泉,Hot spring
070509,韩式定妆,Korean makeup
070510,祛痘,Acne treatment
070511,纹身,Tattoo
070512,其他美容,Other beauty
070601,韩式纹眉,Korean tattoo
070602,海外酒店,Overseas hotel
070603,海外民宿+短租,Overseas pension + short rent
070604,国内酒店,Domestic hotel
070605,主题酒店,Theme Hotel
070606,公寓酒店,Apartment Hotel
070607,特色酒店,Characteristic hotel
070608,青年旅社客栈,Youth Hostel
070609,民宿,B & B
070610,豪华酒店,Luxury Hotel
070611,其他住宿,Other accommodation
070701,会场,Conference Hall
070702,甜点饮品,Dessert drink
070703,火锅,Hot pot
070704,自助餐,Buffet
070705,小吃快餐,Snack
070706,日韩料理,Japanese cuisine
070707,西餐,Western-style food
070708,聚餐宴请,Dinner party
070709,烧烤烤肉,Barbecue
070710,东北菜,Northeast cuisine
070711,川湘菜,Hunan cuisine
070712,江浙菜,Jiangsu and Zhejiang cuisine
070713,香锅烤鱼,Incense pot roast fish
070714,粤港菜,Guangdong cuisine
070715,中式烧烤,Chinese BBQ
070716,烤串,Skewer
070717,西北菜,Northwest cuisine
070718,咖啡酒吧,Coffee bar
070719,茶馆,Teahouse
070720,京菜,Beijing cuisine
070721,鲁菜,Shandong
070722,云贵菜,Yunnan Guizhou cuisine
070723,东南亚菜,Southeast Asian cuisine
070724,海鲜,Seafood
070725,素食,Vegetarian diet
070726,台湾菜,Taiwan cuisine
070727,客家菜,Hakka cuisine
070728,创意菜汤,Creative soup
070729,炖菜,Stew
070730,粥,Porridge
070731,炖菜餐,A meal
070732,新疆菜,Xinjiang cuisine
070733,云贵菜,Yunnan Guizhou.
070734,其它美食,Other food
100101,手机,Mobile phone
100102,对讲机,Walkie-talkie
100103,以旧换新,Old for new
100104,手机维修,Cellphone Repairs
100105,进口手机通讯,Import mobile communication
100201,手机壳,Mobile phone shell
100202,贴膜,Film
100203,手机存储卡,Mobile memory card
100204,数据线,Data line
100205,充电器,Charger
100206,手机耳机,Mobile phone earphone
100207,创意配件,Creative accessories
100208,手机饰品,Mobile accessories
100209,手机电池,Mobile phone battery
100210,苹果周边,Apple periphery
100211,移动电源,Portable source
100212,蓝牙耳机,Bluetooth headset
100213,手机支架,Mobile support
100214,车载配件,Car accessories
100215,拍照配件,Camera accessories
100216,进口手机配件,Imported mobile phone accessories
100301,数码相机,Digital camera
100302,单电/微单相机,Single / micro single camera
100303,单反相机,SLR camera
100304,拍立得,Polaroid
100305,运动相机,Motion camera
100306,摄像机,Video camera
100307,镜头,Camera lens
100308,户外器材,Outdoor equipment
100309,影棚器材,Studio equipment
100310,冲印服务,Print service
100311,数码相框,Digital photo frame
100312,进口摄影摄像,Import photography
100401,存储卡,Memory card
100402,三脚架/云台,Three tripod / PAN
100403,相机包,Camera bag
100404,滤镜,Filter
100405,闪光灯/手柄,Flash / handle
100406,相机清洁/贴膜,Camera cleaning / film
100407,机身附件,Fuselage accessories
100408,镜头附件,Lens attachment
100409,读卡器,Card reader
100410,支架,Bracket
100411,电池/充电器,Battery / charger
100412,进口数码配件,Import digital accessories
100501,耳机/耳麦,Headset / headphone
100502,音响/音箱,Sound / speaker
100503,便携/无线音箱,Portable / wireless speaker
100504,收音机,Radio
100505,麦克风,Microphone
100506,mp3/mp4,Mp3/mp4
100507,专业音频,Professional audio
100508,进口影音娱乐,Import video entertainment
100601,智能手环,Smart Bracelet
100602,智能手表,Intelligent Watch
100603,智能眼镜,Smart glasses
100604,智能机器人,Intelligent robot
100605,运动跟踪器,Motion Tracker
100606,健康监测,Health monitoring
100607,智能配饰,Smart accessories
100608,智能家居,Smart home
100609,体感车,Car body
100610,无人机,UAV
100611,其他配件,Other accessories
100612,进口智能设备,Imported intelligent equipment
100701,学生平板,Student tablet
100702,点读机/笔,Dot reader / pen
100703,早教益智,Early education
100704,录音笔,Recording pen
100705,电纸书,Electronic paper book
100706,电子词典,Electronic dictionary
100707,复读机,Repeater
100708,进口电子教育,Import electronic education
100801,笔记本,Notebook
100802,游戏本,Game book
100803,平板电脑,Tablet PC
100804,平板电脑配件,Tablet accessories
100805,台式机,Desktop
100806,一体机,Integrated machine
100807,服务器/工作站,Server / workstation
100808,笔记本配件,Notebook accessories
100809,进口电脑整机,Imported computer
100901,显示器,Monitor
100902,CPU,CPU
100903,主板,A main board
100904,显卡,Graphics
100905,硬盘,Hard disk
100906,内存,Memory
100907,机箱,Chassis
100908,电源,Power Supply
100909,散热器,Radiator
100910,刻录机/光驱,CD / CD
100911,声卡/扩展卡,Sound card / expansion card
100912,装机配件,Mounting accessories
100913,SSD固态硬盘,SSD solid
100914,组装电脑,Assemble computer
100915,进口电脑配件,Imported computer accessories
101001,鼠标,Mouse
101002,键盘,Keyboard
101003,键鼠套装,Keyboards
101004,网络仪表仪器,Network instrument
